Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
19,Tue,2021-01-19,19:00 (10:00),Cádiz,0.5,2–2,1.5,Levante,0,Estadio Nuevo Mirandilla,Carlos del Cerro
19,Tue,2021-01-19,19:00 (10:00),Valladolid,0.8,2–2,0.7,Elche,0,Estadio Municipal José Zorrilla,Santiago Jaime
19,Tue,2021-01-19,21:30 (12:30),Alavés,1.4,1–2,0.8,Sevilla,0,Estadio de Mendizorroza,Isidro Díaz de Mera
19,Wed,2021-01-20,19:00 (10:00),Getafe,0.6,1–0,0.6,Huesca,0,Coliseum Alfonso Pérez,David Medié
19,Wed,2021-01-20,21:00 (12:00),Betis,0.7,2–1,1.1,Celta Vigo,0,Estadio Benito Villamarín,Juan Martínez
19,Wed,2021-01-20,21:30 (12:30),Villarreal,2.2,2–2,0.2,Granada,0,Estadio de la Cerámica,Valentín Pizarro
19,Thu,2021-01-21,19:00 (10:00),Valencia,0.7,1–1,1.2,Osasuna,0,Estadio de Mestalla,Alejandro Hernández
19,Thu,2021-01-21,21:30 (12:30),Eibar,1.6,1–2,1.3,Atlético Madrid,0,Estadio Municipal de Ipurúa,Mario Melero
20,Fri,2021-01-22,21:00 (12:00),Levante,1.0,2–2,0.7,Valladolid,0,Estadio Ciudad de Valencia,José Luis Munuera
20,Sat,2021-01-23,14:00 (05:00),Huesca,0.1,0–0,0.5,Villarreal,0,Estadio El Alcoraz,Alberola Rojas
20,Sat,2021-01-23,16:15 (07:15),Sevilla,2.1,3–0,0.8,Cádiz,0,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra
20,Sat,2021-01-23,18:30 (09:30),Real Sociedad,2.2,2–2,0.6,Betis,0,Estadio Municipal de Anoeta,César Soto
20,Sat,2021-01-23,21:00 (12:00),Alavés,0.7,1–4,1.9,Real Madrid,0,Estadio de Mendizorroza,Alejandro Hernández
20,Sun,2021-01-24,14:00 (05:00),Osasuna,1.4,3–1,0.8,Granada,0,Estadio El Sadar,Javier Estrada
20,Sun,2021-01-24,16:15 (07:15),Elche,0.8,0–2,1.9,Barcelona,0,Estadio Manuel Martínez Valero,Valentín Pizarro
20,Sun,2021-01-24,18:30 (09:30),Celta Vigo,1.1,1–1,0.7,Eibar,0,Estadio de Balaídos,Pablo González
20,Sun,2021-01-24,21:00 (12:00),Atlético Madrid,1.8,3–1,0.4,Valencia,0,Estadio Wanda Metropolitano,Ricardo de Burgos
20,Mon,2021-01-25,21:00 (12:00),Athletic Club,1.7,5–1,1.1,Getafe,0,San Mamés,Adrián Cordero
21,Fri,2021-01-29,21:00 (12:00),Valladolid,1.4,1–3,1.0,Huesca,0,Estadio Municipal José Zorrilla,Ricardo de Burgos
