Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,
Stade Louis II12,Wed,2020-12-16,20:30 (11:30),Hoffenheim,0.8,0–1,0.3,RB Leipzig,,PreZero Arena,Daniel Schlager,
Stade Louis II13,Fri,2020-12-18,20:30 (11:30),Union Berlin,1.1,2–1,1.7,Dortmund,,Stadion An der Alten Försterei,Harm Osmers,
Stade Louis II13,Sat,2020-12-19,15:30 (06:30),Mainz 05,0.5,0–1,0.9,Werder Bremen,,Opel Arena,Guido Winkmann,
Stade Louis II13,Sat,2020-12-19,15:30 (06:30),Schalke 04,0.6,0–1,0.7,Arminia,,Veltins-Arena,Bastian Dankert,
Stade Louis II13,Sat,2020-12-19,15:30 (06:30),Augsburg,2.0,0–2,1.3,Eint Frankfurt,,WWK Arena,Daniel Siebert,
Stade Louis II13,Sat,2020-12-19,15:30 (06:30),RB Leipzig,2.2,0–0,0.5,Köln,,Red Bull Arena,Felix Brych,
Stade Louis II13,Sat,2020-12-19,15:30 (06:30),M'Gladbach,1.8,1–2,1.8,Hoffenheim,,Stadion im Borussia-Park,Frank Willenborg,
Stade Louis II13,Sat,2020-12-19,18:30 (09:30),Leverkusen,0.3,1–2,1.3,Bayern Munich,,BayArena,Felix Zwayer,
Stade Louis II13,Sun,2020-12-20,15:30 (06:30),Freiburg,2.8,4–1,1.8,Hertha BSC,,Schwarzwald-Stadion,Tobias Reichel,
Stade Louis II13,Sun,2020-12-20,18:00 (09:00),Wolfsburg,1.8,1–0,1.7,Stuttgart,,Volkswagen Arena,Florian Badstübner,
Stade Louis II14,Sat,2021-01-02,15:30 (06:30),Köln,0.5,0–1,1.3,Augsburg,,RheinEnergieSTADION,Sören Storks,
Stade Louis II14,Sat,2021-01-02,15:30 (06:30),Eint Frankfurt,1.4,2–1,0.7,Leverkusen,,Commerzbank-Arena,Felix Brych,
Stade Louis II14,Sat,2021-01-02,15:30 (06:30),Arminia,0.2,0–1,2.7,M'Gladbach,,SchücoArena,Sascha Stegemann,
Stade Louis II14,Sat,2021-01-02,15:30 (06:30),Werder Bremen,1.0,0–2,0.8,Union Berlin,,Weserstadion,Tobias Stieler,
Stade Louis II14,Sat,2021-01-02,15:30 (06:30),Hoffenheim,1.2,1–3,1.9,Freiburg,,PreZero Arena,Robert Hartmann,
Stade Louis II14,Sat,2021-01-02,18:30 (09:30),Hertha BSC,2.3,3–0,0.9,Schalke 04,,Olympiastadion Berlin,Sven Jablonski,
Stade Louis II14,Sat,2021-01-02,20:30 (11:30),Stuttgart,1.1,0–1,3.2,RB Leipzig,,Mercedes-Benz Arena,Christian Dingert,
Stade Louis II14,Sun,2021-01-03,15:30 (06:30),Dortmund,1.8,2–0,1.6,Wolfsburg,,Signal Iduna Park,Manuel Gräfe,
Stade Louis II14,Sun,2021-01-03,18:00 (09:00),Bayern Munich,3.5,5–2,1.5,Mainz 05,,Allianz Arena,Markus Schmidt,
Stade Louis II15,Fri,2021-01-08,20:30 (11:30),M'Gladbach,1.3,3–2,1.4,Bayern Munich,,Stadion im Borussia-Park,Harm Osmers,
Stade Louis II15,Sat,2021-01-09,15:30 (06:30),Freiburg,2.9,5–0,0.2,Köln,,Schwarzwald-Stadion,Robert Schröder,
Stade Louis II15,Sat,2021-01-09,15:30 (06:30),Union Berlin,1.4,2–2,1.8,Wolfsburg,,Stadion An der Alten Försterei,Patrick Ittrich,
Stade Louis II15,Sat,2021-01-09,15:30 (06:30),Schalke 04,2.0,4–0,2.4,Hoffenheim,,Veltins-Arena,Felix Zwayer,
Stade Louis II15,Sat,2021-01-09,15:30 (06:30),Mainz 05,1.2,0–2,2.3,Eint Frankfurt,,Opel Arena,Bastian Dankert,
Stade Louis II15,Sat,2021-01-09,15:30 (06:30),Leverkusen,0.8,1–1,0.4,Werder Bremen,,BayArena,Benjamin Cortus,
Stade Louis II15,Sat,2021-01-09,18:30 (09:30),RB Leipzig,1.0,1–3,2.2,Dortmund,,Red Bull Arena,Daniel Siebert,
Stade Louis II15,Sun,2021-01-10,15:30 (06:30),Augsburg,1.0,1–4,4.0,Stuttgart,,WWK Arena,Daniel Schlager,
Stade Louis II15,Sun,2021-01-10,18:00 (09:00),Arminia,0.8,1–0,0.8,Hertha BSC,,SchücoArena,Guido Winkmann,
Stade Louis II16,Fri,2021-01-15,20:30 (11:30),Union Berlin,1.3,1–0,1.2,Leverkusen,,Stadion An der Alten Försterei,Florian Badstübner,
Stade Louis II16,Sat,2021-01-16,15:30 (06:30),Werder Bremen,1.2,2–0,0.5,Augsburg,,Weserstadion,Sascha Stegemann,
Stade Louis II16,Sat,2021-01-16,15:30 (06:30),Wolfsburg,1.2,2–2,2.1,RB Leipzig,,Volkswagen Arena,Tobias Stieler,
Stade Louis II16,Sat,2021-01-16,15:30 (06:30),Hoffenheim,0.7,0–0,0.8,Arminia,,PreZero Arena,Marco Fritz,
Stade Louis II16,Sat,2021-01-16,15:30 (06:30),Dortmund,2.4,1–1,0.8,Mainz 05,,Signal Iduna Park,Sven Jablonski,
Stade Louis II16,Sat,2021-01-16,15:30 (06:30),Köln,0.4,0–0,0.9,Hertha BSC,,RheinEnergieSTADION,Frank Willenborg,
Stade Louis II16,Sat,2021-01-16,18:30 (09:30),Stuttgart,2.0,2–2,1.5,M'Gladbach,,Mercedes-Benz Arena,Felix Brych,
Stade Louis II16,Sun,2021-01-17,15:30 (06:30),Bayern Munich,2.7,2–1,1.0,Freiburg,,Allianz Arena,Christian Dingert,
Stade Louis II16,Sun,2021-01-17,18:00 (09:00),Eint Frankfurt,1.7,3–1,0.2,Schalke 04,,Commerzbank-Arena,Manuel Gräfe,
Stade Louis II17,Tue,2021-01-19,18:30 (09:30),M'Gladbach,0.8,1–0,1.1,Werder Bremen,,Stadion im Borussia-Park,Martin Petersen,
Stade Louis II17,Tue,2021-01-19,20:30 (11:30),Leverkusen,1.8,2–1,2.1,Dortmund,,BayArena,Felix Zwayer,
Stade Louis II17,Tue,2021-01-19,20:30 (11:30),Mainz 05,0.4,0–2,1.1,Wolfsburg,,Opel Arena,Sören Storks,
Stade Louis II17,Tue,2021-01-19,20:30 (11:30),Hertha BSC,1.4,0–3,1.3,Hoffenheim,,Olympiastadion Berlin,Harm Osmers,
Stade Louis II17,Wed,2021-01-20,18:30 (09:30),Schalke 04,1.4,1–2,1.6,Köln,,Veltins-Arena,Daniel Siebert,
Stade Louis II17,Wed,2021-01-20,20:30 (11:30),Augsburg,1.2,0–1,2.0,Bayern Munich,,WWK Arena,Matthias Jöllenbeck,
Stade Louis II17,Wed,2021-01-20,20:30 (11:30),Arminia,2.2,3–0,0.9,Stuttgart,,SchücoArena,Robert Hartmann,
